School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
Reilly ES,610144,60618,Avondale,40,20,35
Reinberg ES,610145,60634,Portage Park,39,20,38
Revere ES,610146,60619,Greater Grand Crossing,5,3,5
Rogers ES,610147,60645,West Ridge,16,8,50
Chavez Multicultural Academic Center ES,610148,60609,New City,6,3,20
Ruggles ES,610152,60619,Greater Grand Crossing,34,17,6
Ryder Math & Science Specialty ES,610153,60620,Auburn Gresham,27,14,21
Sauganash ES,610155,60646,Forest Glen,15,8,39
Sawyer ES,610157,60632,Gage Park,1,1,14
Sayre Elem. Language Acad.,610158,60707,Austin,78,39,36
Scammon ES,610159,60641,Irving Park,39,20,30
Stock ES,610163,60631,Edison Park,20,10,41
Schubert ES,610165,60639,Belmont Cragin,39,20,31
Seward Communication Arts Acad. ES,610167,60609,New City,6,3,20
Columbia Explorers Elem. Acad.,610170,60632,Brighton Park,1,1,14
Mireles Elem. Acad.,610171,60617,South Chicago,26,13,10
Sherman ES,610172,60609,New City,6,3,16
Sherwood ES,610173,60621,Englewood,5,3,20
Shields ES,610174,60632,Brighton Park,2,1,12
Shoesmith ES,610175,60615,Kenwood,25,13,4
Shoop Math-Science Technical Acad. ES,610176,60643,Morgan Park,27,14,34
Skinner West ES,610177,60607,Near West Side,9,5,27
Schmid ES,610178,60628,Pullman,34,17,8
Smyser ES,610179,60634,Portage Park,19,10,38
J. Smyth ES,610180,60608,Near West Side,9,5,2
Solomon ES,610182,60659,North Park,15,8,39
Spencer Technology Acad.,610183,60644,Austin,8,4,28
Spry Elem. Community School,610184,60623,South Lawndale,21,11,12
Stevenson ES,610185,60652,Ashburn,32,16,13
Dunne Technology Acad.,610188,60628,Roseland,28,14,34
Stone Elem. Scholastic Acad.,610191,60659,West Ridge,16,8,50
Stowe ES,610192,60647,Humboldt Park,4,2,26
Sullivan ES,610193,60617,South Chicago,25,13,10
Sumner  Math & Science Community Acad ES,610194,60624,West Garfield Park,10,5,24
Sutherland ES,610195,60643,Beverly,35,18,19
Swift Elem. Specialty School,610196,60660,Edgewater,14,7,48
Talcott ES,610197,60622,West Town,4,2,26
Taylor ES,610198,60617,East Side,25,13,10
Colemon Elem. Acad.,610199,60643,West Pullman,27,14,34
J. Thorp ES,610200,60617,South Chicago,25,13,10
O. Thorp Elem. Scholastic Acad.,610201,60634,Dunning,3,2,38
Tilton ES,610202,60624,West Garfield Park,10,5,28
Tonti ES,610203,60629,Gage Park,22,11,14
Twain ES,610206,60638,Garfield Ridge,1,1,23
Vanderpoel Elem. Magnet School,610207,60643,Beverly,35,18,19
Lavizzo ES,610208,60628,Roseland,28,14,34
Volta ES,610209,60625,Albany Park,40,20,39
Albany Park Multicultural Acad.,610212,60625,Albany Park,15,8,39
Wadsworth ES,610213,60637,Woodlawn,26,13,20
Madero Middle School,610215,60623,South Lawndale,21,11,22
Walsh ES,610216,60608,Lower West Side,2,1,25
J. Ward ES,610217,60616,Armour Square,2,1,11
Warren ES,610218,60617,Calumet Heights,33,17,8
G. Washington ES,610219,60617,East Side,25,13,10
Waters ES,610220,60625,Lincoln Square,11,6,47
Webster ES,610221,60624,West Garfield Park,10,5,24
Wentworth ES,610223,60621,Englewood,32,16,17
Whistler ES,610225,60643,West Pullman,27,14,34
Sandoval ES,610226,60629,Gage Park,22,11,14
Whitney ES,610227,60623,South Lawndale,24,12,22
Whittier ES,610228,60608,Lower West Side,2,1,25
