School_Name,CPS_ID,Zip,Community_Area,State_Rep_District,State_Sen_District,Ward
Youth Connection Charter School  -  Association House  El Cuarto Año,400126,60651,Humboldt Park,4,2,26
Youth Connection Charter School  -  Austin Career Education Center,400127,60651,Austin,8,4,37
Youth Connection Charter School  -  CCA -  Community Services West,400128,60623,North Lawndale,9,5,24
Youth Connection Charter School  -  Charles Hamilton Houston,400129,60615,Grand Boulevard,26,13,3
Youth Connection Charter School  -  Chatham Academy,400150,60619,Chatham,34,17,6
Youth Connection Charter School  -  Community Youth Development Institute,400130,60620,Auburn Gresham,31,16,17
Youth Connection Charter School  -  Dr. Pedro Albizu Campos,400131,60622,West Town,4,2,26
Youth Connection Charter School  -  Innovations High School of Art Integration,400133,60609,Fuller Park,6,3,3
Youth Connection Charter School  -  Community Youth Development Institute,400134,60616,Lower West Side,2,1,25
Youth Connection Charter School  -  Latino Youth High School,400135,60608,South Lawndale,9,5,28
Youth Connection Charter School  -  Olive Harvey Middle College,400136,60628,Pullman,34,17,8
Youth Connection Charter School - Options Laboratory School,400137,60653,Kenwood,25,13,4
Youth Connection Charter School  -  Sullivan House,400139,60617,Avalon Park,33,17,8
Youth Connection Charter School  -  Truman Middle College,400141,60640,Uptown,13,7,46
Youth Connection Charter School  -  Westside Holistic,400144,60651,Austin,8,4,37
Youth Connection Charter School  -  West Town Academy Alternative High School,400143,60612,Humboldt Park,10,5,27
Youth Connection Charter School  -  YCCS Virtual High School,400142,60612,Near West Side,9,5,2
Youth Connection Charter School  -  Youth Connection Leadership Academy,400145,60616,Douglas,6,3,3
North-Grand HS,609691,60639,Humboldt Park,4,2,31
Simeon Career Acad. HS,609692,60620,Chatham,31,16,21
Westinghouse HS,609693,60624,Humboldt Park,10,5,28
Hancock College Preparatory HS,609694,60629,West Elsdon,22,11,13
Amundsen HS,609695,60625,Lincoln Square,13,7,47
Bogan HS,609698,60652,Ashburn,32,16,18
Crane Technical Preparatory HS,609702,60612,Near West Side,9,5,2
Farragut Career Acad. HS,609704,60623,South Lawndale,21,11,22
Fenger Acad. HS,609705,60628,Roseland,28,14,34
Fenger Achvmt. Acad. HS,609706,60628,Roseland,28,14,34
Robeson HS,609707,60621,Englewood,32,16,6
Foreman HS,609708,60641,Portage Park,39,20,30
Gage Park HS,609709,60629,Gage Park,1,1,16
Harlan Community Acad. HS,609710,60628,Roseland,34,17,6
Harper HS,609711,60636,West Englewood,32,16,15
Hirsch Metropolitan HS,609712,60619,Greater Grand Crossing,5,3,8
Hyde Park Acad. HS,609713,60637,Woodlawn,25,13,5
Kelly HS,609715,60632,Brighton Park,21,11,14
Kelvyn Park HS,609716,60639,Hermosa,39,20,31
Kennedy HS,609718,60638,Garfield Ridge,22,11,23
Lake View HS,609719,60613,Lake View,11,6,47
Lane Technical HS,609720,60618,North Center,11,6,47
Manley Career Acad. HS,609722,60612,East Garfield Park,9,5,2
Marshall Metropolitan HS,609723,60624,East Garfield Park,10,5,28
Mather HS,609724,60659,West Ridge,13,7,40
Morgan Park HS,609725,60643,Morgan Park,27,14,19
Brooks College Preparatory Acad. HS,609726,60628,Roseland,28,14,9
Phillips Acad. HS,609727,60653,Douglas,5,3,3
Roosevelt HS,609728,60625,Albany Park,40,20,33
Schurz HS,609729,60641,Irving Park,40,20,38
Senn HS,609730,60660,Edgewater,14,7,48
Steinmetz Academic Centre HS,609732,60634,Belmont Cragin,3,2,36
Sullivan HS,609733,60626,Rogers Park,14,7,40
Taft HS,609734,60631,Norwood Park,20,10,41
Tilden Career Community Acad. HS,609735,60609,New City,6,3,11
Dyett HS,609736,60615,Washington Park,26,13,4
Von Steuben Metropolitan Science HS,609737,60625,North Park,15,8,39
Lincoln Park HS,609738,60614,Lincoln Park,10,5,43
G. Washington HS,609739,60617,East Side,25,13,10
Wells Community Acad. HS,609740,60622,West Town,4,2,1
Hubbard HS,609741,60629,West Lawn,22,11,13
Phillips Achvmt. Acad. HS,609743,60653,Douglas,5,3,3
Northside Learning Center HS,609744,60659,North Park,15,8,39
Southside Occupational Acad. HS,609745,60636,West Englewood,31,16,17
Kenwood Acad. HS,609746,60615,Kenwood,25,13,4
Consuella B York Alternative HS,609748,60608,South Lawndale,21,11,12
Northside College Preparatory HS,609749,60625,North Park,13,7,40
Simpson Acad. HS for Young Women,609750,60608,Near West Side,9,5,2
King  Jr  College Prep HS,609751,60653,Kenwood,25,13,4
Chicago HS for Agricultural Sciences,609753,60655,Mount Greenwood,35,18,19
Chicago Mil. Acad. HS,609754,60653,Douglas,5,3,2
Whitney Young Magnet HS,609755,60607,Near West Side,9,5,2
Curie Metropolitan HS,609756,60632,Archer Heights,1,1,14
Clemente Community Acad. HS,609759,60622,West Town,4,2,1
Carver Mil. Acad. HS,609760,60827,Riverdale,34,17,9
Corliss HS,609761,60628,Pullman,34,17,9
Julian HS,609762,60643,Washington Heights,27,14,21
Juarez Community Acad. HS,609764,60608,Lower West Side,2,1,25
Vaughn Occupational HS,609766,60641,Portage Park,19,10,38
Hope College Preparatory HS,609768,60621,Englewood,6,3,3
Graham Training Center HS,609769,60616,Near South Side,5,3,2
Addams ES,609772,60617,East Side,25,13,10
Agassiz ES,609773,60657,Lake View,12,6,44
Alcott ES,609774,60614,Lincoln Park,12,6,43
Armour ES,609777,60608,Bridgeport,2,1,11
Armstrong International Studies ES,609779,60645,West Ridge,16,8,50
Ames Middle School,609780,60647,Logan Square,4,2,26
Attucks ES,609781,60609,Grand Boulevard,5,3,3
Audubon ES,609782,60618,North Center,11,6,47
Jefferson Alternative HS,609783,60612,Near West Side,9,5,2
Avalon Park ES,609786,60619,Avalon Park,33,17,8
Barnard Computer Math & Science Ctr ES,609788,60643,Beverly,35,18,19
Barry ES,609789,60641,Hermosa,39,20,31
Barton ES,609790,60620,Auburn Gresham,31,16,18
Bass ES,609791,60621,Englewood,32,16,17
Bateman ES,609792,60618,Irving Park,11,6,33
Nicholson Technology Acad.,609793,60621,Englewood,6,3,16
Edison Regional Gifted Center ES,609794,60625,Albany Park,15,8,39
G. R. Clark ES,609795,60644,Austin,8,4,29
Beaubien ES,609796,60630,Jefferson Park,19,10,45
Beidler ES,609797,60612,East Garfield Park,10,5,27
Belding ES,609798,60641,Irving Park,40,20,38
Bell ES,609799,60618,North Center,11,6,47
Bennett ES,609800,60628,Roseland,28,14,9
Blaine ES,609803,60613,Lake View,11,6,44
Boone ES,609804,60645,West Ridge,16,8,50
Joplin ES,609805,60620,Auburn Gresham,31,16,18
Bradwell Communications Arts & Sciences ES,609806,60649,South Shore,25,13,7
Hampton Fine & Performing Arts ES,609807,60652,Ashburn,32,16,18
Haley Elem. Acad.,609808,60628,Roseland,28,14,34
Brentano Math & Science Acad. ES,609809,60647,Logan Square,40,20,35
Bridge ES,609810,60634,Dunning,19,10,38
Bright ES,609811,60617,South Deering,33,17,10
W. Brown ES,609812,60612,Near West Side,10,5,27
Brownell ES,609813,60637,Greater Grand Crossing,32,16,20
Bouchet Math & Science Acad. ES,609815,60649,South Shore,26,13,5
Budlong ES,609817,60625,Lincoln Square,13,7,40
Burbank ES,609818,60639,Belmont Cragin,3,2,29
Burke ES,609819,60615,Washington Park,5,3,3
Burley ES,609820,60657,Lake View,11,6,32
Burnham Elem. Inclusive Acad.,609821,60617,South Deering,33,17,7
Castellanos ES,609826,60623,South Lawndale,24,12,22
Burnside Elem. Scholastic Acad.,609827,60619,Chatham,34,17,6
Burr ES,609828,60622,West Town,10,5,1
Burroughs ES,609829,60632,Brighton Park,21,11,12
Brunson Math & Science Specialty ES,609830,60651,Austin,78,39,29
Byrne ES,609832,60638,Garfield Ridge,21,11,23
Caldwell Acad. of Math & Science ES,609833,60617,Avalon Park,33,17,8
Little Village ES,609834,60623,South Lawndale,24,12,22
Cameron ES,609835,60651,Humboldt Park,4,2,26
Canty ES,609836,60634,Dunning,19,10,36
Carnegie ES,609837,60637,Woodlawn,25,13,20
Carroll-Rosenwald Specialty ES,609839,60652,Ashburn,31,16,18
Carson ES,609842,60629,Gage Park,1,1,16
Carter ES,609844,60637,Washington Park,5,3,20
Carver Primary School,609845,60827,Riverdale,29,15,9
Aldridge ES,609848,60827,Riverdale,29,15,9
Cassell ES,609849,60655,Mount Greenwood,35,18,19
Greeley ES,609850,60613,Lake View,12,6,46
Chalmers Specialty ES,609851,60608,North Lawndale,9,5,28
Chappell ES,609852,60625,Lincoln Square,13,7,47
Chase ES,609853,60647,Logan Square,39,20,1
Chopin ES,609854,60622,West Town,4,2,1
Christopher ES,609855,60632,Gage Park,1,1,14
Clay ES,609856,60633,Hegewisch,33,17,10
Cleveland ES,609857,60618,Irving Park,40,20,33
DeWitt Clinton ES,609859,60659,West Ridge,16,8,50
Clissold ES,609861,60643,Morgan Park,27,14,19
Coles Elem. Language Acad.,609862,60617,South Chicago,33,17,7
Columbus ES,609863,60622,West Town,4,2,32
Cook ES,609864,60620,Auburn Gresham,31,16,21
Jordan Elem. Community School,609865,60626,Rogers Park,14,7,49
Coonley ES,609866,60618,North Center,11,6,47
Cooper Elem. Dual Language Acad.,609867,60608,Lower West Side,2,1,25
Langford Acad.,609869,60636,West Englewood,6,3,16
Corkery ES,609870,60623,South Lawndale,24,12,22
Vick Early Childhood & Family Center,609871,60655,Morgan Park,35,18,19
Perez ES,609872,60608,Lower West Side,2,1,25
Crown Community Acad. of Fine Arts Center ES,609873,60623,North Lawndale,9,5,24
Dirksen ES,609874,60656,Ohare,20,10,41
Darwin ES,609875,60647,Logan Square,39,20,26
N. Davis ES,609876,60632,Brighton Park,21,11,14
Dawes ES,609879,60652,Ashburn,32,16,18
Decatur Classical ES,609880,60645,West Ridge,16,8,50
Deneen ES,609883,60619,Greater Grand Crossing,32,16,6
Dever ES,609884,60634,Dunning,19,10,36
Dewey Elem. Acad. of Fine Arts,609885,60609,New City,6,3,3
Dixon ES,609887,60619,Chatham,34,17,6
Dodge Elem. Renaissance Acad.,609888,60612,East Garfield Park,10,5,2
Doolittle Jr ES,609891,60616,Douglas,26,13,4
Dore ES,609893,60638,Clearing,22,11,23
Drake ES,609894,60616,Douglas,26,13,4
Turner-Drew Elem. Language Acad.,609895,60620,Roseland,27,14,21
Drummond ES,609896,60622,Logan Square,10,5,32
Earle ES,609897,60636,West Englewood,6,3,15
Eberhart ES,609898,60629,Chicago Lawn,1,1,15
Ebinger ES,609899,60631,Edison Park,20,10,41
Curtis ES,609900,60628,Roseland,28,14,9
Edgebrook ES,609901,60646,Forest Glen,15,8,41
Metcalfe Elem. Community Acad.,609902,60628,West Pullman,28,14,34
Edwards ES,609903,60632,Archer Heights,1,1,14
Ellington ES,609904,60644,Austin,8,4,29
Esmond ES,609908,60643,Morgan Park,27,14,19
Everett ES,609909,60608,Mckinley Park,2,1,11
Falconer ES,609910,60641,Belmont Cragin,39,20,31
Farnsworth ES,609912,60630,Jefferson Park,19,10,45
Fernwood ES,609917,60628,Washington Heights,27,14,34
Field ES,609918,60636,Rogers Park,32,16,17
Fiske ES,609919,60637,Woodlawn,26,13,20
Kanoon Elem. Magnet School,609920,60623,South Lawndale,21,11,24
Telpochcalli ES,609921,60623,South Lawndale,21,11,12
Belmont-Cragin ES,609922,60639,Belmont Cragin,3,2,30
Fort Dearborn ES,609924,60620,Washington Heights,27,14,21
Kellman Corporate Community ES,609925,60612,East Garfield Park,9,5,28
Franklin Elem. Fine Arts Center,609926,60610,Near North Side,12,6,43
Foster Park ES,609927,60620,Auburn Gresham,36,18,18
Fuller ES,609928,60653,Grand Boulevard,26,13,4
Fulton ES,609929,60609,New City,6,3,16
Funston ES,609930,60647,Logan Square,4,2,26
Gale Elem. Community Acad.,609933,60626,Rogers Park,14,7,49
Gallistel Elem. Language Acad.,609935,60617,East Side,25,13,10
J. Garvy ES,609937,60656,Norwood Park,19,10,41
Gary ES,609938,60623,South Lawndale,24,12,22
Gillespie ES,609939,60619,Roseland,34,17,6
Randolph ES,609941,60636,West Englewood,31,16,17
Goethe ES,609942,60647,Logan Square,39,20,1
Gompers Fine Arts Options ES,609943,60628,West Pullman,29,15,9
Virgil Grissom ES,609944,60633,Hegewisch,33,17,10
Goudy ES,609945,60640,Uptown,13,7,48
Graham ES,609947,60609,New City,6,3,11
Gray ES,609949,60641,Portage Park,39,20,38
Dominguez ES,609950,60623,South Lawndale,24,12,22
Ariel Elem. Community Acad.,609951,60653,Kenwood,25,13,4
N. Greene ES,609952,60609,Mckinley Park,2,1,11
Milton Gregory ES,609954,60624,East Garfield Park,9,5,24
Gresham ES,609955,60620,Auburn Gresham,27,14,21
Grimes ES,609956,60638,Clearing,22,11,13
Gunsaulus Elem. Scholastic Acad.,609958,60632,Brighton Park,1,1,14
Haines ES,609959,60616,Armour Square,2,1,25
Hale ES,609960,60638,Clearing,22,11,23
Ninos Heroes Elem. Academic Center,609961,60617,South Chicago,25,13,10
Hamilton ES,609963,60657,Lake View,11,6,32
Hamline ES,609964,60609,New City,6,3,20
Hammond ES,609966,60623,South Lawndale,21,11,12
Finkl ES,609967,60608,Lower West Side,2,1,25
McAuliffe ES,609968,60647,Hermosa,4,2,30
Harte ES,609969,60637,Hyde Park,25,13,5
Harvard ES of Excellence,609971,60620,Greater Grand Crossing,31,16,17
Haugan ES,609972,60625,Albany Park,40,20,39
Zapata Elem. Acad.,609973,60623,South Lawndale,24,12,22
Hawthorne Elem. Scholastic Acad.,609974,60657,Lake View,12,6,44
Hay Elem. Community Acad.,609975,60651,Austin,8,4,37
Hayt ES,609976,60660,Edgewater,13,7,40
Woodlawn Community ES,609977,60637,Woodlawn,26,13,5
W. Smith ES,609978,60628,Pullman,34,17,8
Healy ES,609979,60616,Bridgeport,2,1,11
Apperson Hearst ES,609981,60638,Garfield Ridge,1,1,23
Hedges ES,609983,60609,New City,2,1,20
Hefferan ES,609985,60624,West Garfield Park,10,5,28
Henderson ES,609986,60636,West Englewood,6,3,15
Hendricks Elem. Community Acad.,609987,60609,Fuller Park,6,3,3
Henry ES,609988,60618,Irving Park,40,20,33
South Loop ES,609990,60605,Near South Side,6,3,2
Herzl ES,609991,60623,North Lawndale,9,5,24
Agustin Lara Elem. Acad.,609993,60609,New City,2,1,20
Hibbard ES,609994,60625,Albany Park,15,8,39
Hitch ES,609995,60646,Norwood Park,19,10,45
Holden ES,609996,60608,Bridgeport,2,1,11
Holmes ES,609997,60621,Englewood,6,3,20
Howe ES of Excellence,610000,60644,Austin,8,4,37
