Percentile,Student_StartRIT,Student_Growth,Grade,Subject,Growth Season
52,178.6,10.77,2,Reading,S2S
55,179.87,10.5,2,Reading,S2S
60,182.03,10.05,2,Reading,S2S
65,184.26,9.59,2,Reading,S2S
70,186.6,9.1,2,Reading,S2S
75,189.14,8.57,2,Reading,S2S
80,191.96,7.99,2,Reading,S2S
85,195.25,7.3,2,Reading,S2S
90,199.39,6.44,2,Reading,S2S
10,167.33,13.97,3,Reading,S2S
20,174.47,12.77,3,Reading,S2S
25,177.19,12.31,3,Reading,S2S
30,179.63,11.9,3,Reading,S2S
35,181.89,11.52,3,Reading,S2S
40,184.03,11.16,3,Reading,S2S
45,186.11,10.81,3,Reading,S2S
48,187.33,10.61,3,Reading,S2S
50,188.15,10.47,3,Reading,S2S
52,188.96,10.33,3,Reading,S2S
55,190.19,10.13,3,Reading,S2S
60,192.27,9.78,3,Reading,S2S
65,194.41,9.42,3,Reading,S2S
70,196.67,9.04,3,Reading,S2S
75,199.11,8.63,3,Reading,S2S
80,201.82,8.18,3,Reading,S2S
85,204.99,7.64,3,Reading,S2S
90,208.97,6.98,3,Reading,S2S
10,177.92,10.71,4,Reading,S2S
20,184.95,9.62,4,Reading,S2S
25,187.62,9.21,4,Reading,S2S
30,190.01,8.84,4,Reading,S2S
35,192.23,8.49,4,Reading,S2S
40,194.34,8.16,4,Reading,S2S
45,196.38,7.85,4,Reading,S2S
48,197.59,7.66,4,Reading,S2S
50,198.39,7.54,4,Reading,S2S
52,199.19,7.41,4,Reading,S2S
55,200.39,7.23,4,Reading,S2S
60,202.43,6.91,4,Reading,S2S
65,204.54,6.58,4,Reading,S2S
70,206.76,6.24,4,Reading,S2S
75,209.16,5.87,4,Reading,S2S
80,211.83,5.45,4,Reading,S2S
85,214.94,4.97,4,Reading,S2S
90,218.86,4.36,4,Reading,S2S
10,191.15,8.01,6,Reading,S2S
20,198.15,6.7,6,Reading,S2S
25,200.81,6.21,6,Reading,S2S
30,203.2,5.76,6,Reading,S2S
35,205.42,5.35,6,Reading,S2S
40,207.52,4.95,6,Reading,S2S
45,209.55,4.58,6,Reading,S2S
48,210.75,4.35,6,Reading,S2S
50,211.55,4.2,6,Reading,S2S
52,212.35,4.05,6,Reading,S2S
55,213.55,3.83,6,Reading,S2S
60,215.58,3.45,6,Reading,S2S
65,217.68,3.06,6,Reading,S2S
70,219.9,2.64,6,Reading,S2S
75,222.29,2.2,6,Reading,S2S
80,224.95,1.7,6,Reading,S2S
85,228.05,1.12,6,Reading,S2S
90,231.95,0.39,6,Reading,S2S
10,193.59,7.1,7,Reading,S2S
20,200.71,5.97,7,Reading,S2S
25,203.41,5.55,7,Reading,S2S
30,205.84,5.16,7,Reading,S2S
35,208.09,4.81,7,Reading,S2S
40,210.23,4.47,7,Reading,S2S
45,212.3,4.15,7,Reading,S2S
48,213.52,3.95,7,Reading,S2S
50,214.33,3.83,7,Reading,S2S
52,215.14,3.7,7,Reading,S2S
55,216.37,3.51,7,Reading,S2S
60,218.43,3.18,7,Reading,S2S
65,220.57,2.84,7,Reading,S2S
70,222.82,2.49,7,Reading,S2S
75,225.25,2.1,7,Reading,S2S
80,227.96,1.68,7,Reading,S2S
85,231.11,1.18,7,Reading,S2S
90,235.08,0.56,7,Reading,S2S
10,196.62,6.08,8,Reading,S2S
20,203.61,5.05,8,Reading,S2S
25,206.27,4.66,8,Reading,S2S
30,208.65,4.31,8,Reading,S2S
35,210.86,3.99,8,Reading,S2S
40,212.96,3.68,8,Reading,S2S
45,214.99,3.38,8,Reading,S2S
48,216.19,3.21,8,Reading,S2S
50,216.99,3.09,8,Reading,S2S
52,217.78,2.97,8,Reading,S2S
55,218.98,2.8,8,Reading,S2S
60,221.01,2.5,8,Reading,S2S
65,223.11,2.19,8,Reading,S2S
70,225.32,1.87,8,Reading,S2S
75,227.71,1.52,8,Reading,S2S
80,230.36,1.13,8,Reading,S2S
85,233.46,0.67,8,Reading,S2S
90,237.35,0.1,8,Reading,S2S
